Potential [ V],di [µA/]
-1,148.6200053
-0.999549985,144.5359958
-0.999100029,140.6619995
-0.998650014,137.023002
-0.998199999,133.8080037
-0.997749984,131.0569933
-0.997300029,128.6829938
-0.996850014,126.739993
-0.996399999,125.1929934
-0.995949984,123.7969991
-0.995500028,122.6349996
-0.995050013,121.8329999
-0.994599998,121.006
-0.994149983,120.1859995
-0.993700027,119.4860015
-0.993250012,118.8120004
-0.992799997,118.1059997
-0.992349982,117.6139995
-0.991900027,117.2310003
-0.991450012,116.8550007
-0.990999997,116.3859997
-0.990549982,115.8480009
-0.990100026,115.2920013
-0.989650011,114.6970026
-0.989199996,114.1109969
-0.988749981,113.7159998
-0.988300025,113.2909965
-0.98785001,112.8419972
-0.987399995,112.5229974
-0.98694998,112.2539979
-0.986500025,111.825997
-0.98605001,111.5530031
-0.985599995,111.2009995
-0.98514998,110.6209966
-0.984700024,109.927998
-0.984250009,109.3559986
-0.983799994,108.6710035
-0.983349979,108.1640003
-0.982900023,107.9020003
-0.982450008,107.8540008
-0.981999993,107.7280031
-0.981549978,107.6780027
-0.981100023,107.5839973
-0.980650008,107.3680032
-0.980199993,106.9450009
-0.979749978,106.6330005
-0.979300022,106.3399977
-0.978850007,105.9499991
-0.978399992,105.5340035
-0.977949977,105.2259977
-0.977500021,104.7510013
-0.977050006,104.1459982
-0.976599991,103.6269969
-0.976149976,103.0720014
-0.975700021,102.4939993
-0.975250006,102.0790005
-0.974799991,101.7239993
-0.974349976,101.2349967
-0.97390002,100.8659965
-0.973450005,100.5200029
-0.97299999,100.0429984
-0.972549975,99.66990183
-0.972100019,99.45019701
-0.971650004,99.29989756
-0.971199989,99.15269766
-0.970749974,99.15210103
-0.970300019,99.0851986
-0.969850004,98.97229756
-0.969399989,98.64039748
-0.968949974,98.37539983
-0.968500018,98.08890172
-0.968050003,97.77110245
-0.967599988,97.51159814
-0.967149973,97.57110092
-0.966700017,97.55569772
-0.966250002,97.54899656
-0.965799987,97.598102
-0.965349972,97.57479711
-0.964900017,97.25079872
-0.964450002,96.86560225
-0.963999987,96.32630099
-0.963549972,95.76560115
-0.963100016,95.2367991
-0.962650001,94.86440104
-0.962199986,94.58769637
-0.961749971,94.46559852
-0.961300015,94.31409853
-0.96085,94.15030217
-0.960399985,93.9422971
-0.95994997,93.67849998
-0.959500015,93.44040154
-0.95905,93.41829718
-0.958599985,93.45880244
-0.958150029,93.61770208
-0.957700014,93.93369692
-0.957249999,94.21769937
-0.956799984,94.29689817
-0.956350029,94.39320274
-0.955900013,94.29990314
-0.955449998,94.05449964
-0.954999983,93.73739886
-0.954550028,93.40490215
-0.954100013,92.99570229
-0.953649998,92.66739653
-0.953199983,92.41780208
-0.952750027,92.24349924
-0.952300012,92.17049956
-0.951849997,92.06440154
-0.951399982,91.95890016
-0.950950027,91.73189756
-0.950500011,91.46070079
-0.950049996,91.10670362
-0.949599981,90.82270117
-0.949150026,90.58279829
-0.948700011,90.37239943
-0.948249996,90.18280252
-0.947799981,90.11960356
-0.947350025,90.04840103
-0.94690001,90.08029883
-0.946449995,90.25759937
-0.94599998,90.46070045
-0.945550025,90.55819828
-0.945100009,90.64900223
-0.944649994,90.53800022
-0.944199979,90.3698965
-0.943750024,90.12819646
-0.943300009,89.80980056
-0.942849994,89.57360114
-0.942399979,89.28219904
-0.941950023,88.85950228
-0.941500008,88.39450311
-0.941049993,88.08590064
-0.940599978,87.80739881
-0.940150023,87.7827988
-0.939700007,88.04719982
-0.939249992,88.6748021
-0.938799977,89.44360161
-0.938350022,90.05519678
-0.937900007,90.52210225
-0.937449992,90.85090278
-0.936999977,90.96250142
-0.936550021,90.86189675
-0.936100006,90.88950173
-0.935649991,91.05580102
-0.935199976,91.18339949
-0.934750021,91.30180115
-0.934300005,91.48030222
-0.93384999,91.52630082
-0.933399975,91.44719661
-0.93295002,91.39379836
-0.932500005,91.25759971
-0.93204999,91.08090308
-0.931599975,91.04039782
-0.931150019,91.02270269
-0.930700004,90.94169945
-0.930249989,90.94039706
-0.929799974,90.91039828
-0.929350019,90.77110008
-0.928900003,90.60119919
-0.928449988,90.46500054
-0.927999973,90.24910105
-0.927550018,90.07239714
-0.927100003,89.86250032
-0.926649988,89.7373975
-0.926199973,89.60300329
-0.925750017,89.46440357
-0.925300002,89.2852986
-0.924849987,89.25829752
-0.924399972,89.07549636
-0.923950016,88.97850057
-0.923500001,88.99819659
-0.923049986,89.10670294
-0.922599971,89.09260214
-0.922150016,89.1232994
-0.921700001,89.00860121
-0.921249986,88.87050353
-0.920799971,88.7066999
-0.920350015,88.5276022
-0.9199,88.49999722
-0.919449985,88.62640243
-0.91900003,88.74719788
-0.918550014,88.82940165
-0.918099999,88.9790972
-0.917649984,88.97670341
-0.917200029,88.83429837
-0.916750014,88.56320346
-0.916299999,88.32079766
-0.915849984,88.05520338
-0.915400028,87.897497
-0.914950013,87.80859935
-0.914499998,87.88770356
-0.914049983,87.9588988
-0.913600028,88.07730046
-0.913150012,88.1399028
-0.912699997,88.27479905
-0.912249982,88.3834
-0.911800027,88.51959865
-0.911350012,88.68650184
-0.910899997,88.83920236
-0.910449982,88.93490303
-0.910000026,89.0299998
-0.909550011,89.08219752
-0.909099996,89.12019985
-0.908649981,89.25890143
-0.908200026,89.35580263
-0.90775001,89.41649867
-0.907299995,89.52760254
-0.90684998,89.58770195
-0.906400025,89.53190263
-0.90595001,89.46379967
-0.905499995,89.37109669
-0.90504998,89.18040112
-0.904600024,88.98830129
-0.904150009,88.88400043
-0.903699994,88.84909766
-0.903249979,88.78709923
-0.902800024,88.84719864
-0.902350008,88.92209735
-0.901899993,88.88830052
